stop_id,stop_name,Zone,stop_lat,stop_lon
1,Dilshad Garden,North East,28.675991,77.321495
2,Jhilmil,East,28.675648,77.312393
3,Mansarovar Park,East,28.675352,77.301178
4,Shahdara,North East,28.673531,77.28727
5,Welcome,East,28.671986,77.277931
6,Seelam Pur,East,28.670324,77.267311
7,Shastri Park,Central,28.668451,77.250404
8,Kashmere Gate,North West,28.667879,77.228012
9,Tis Hazari,Central,28.667137,77.216721
10,Pul Bangash,North,28.66571,77.206329
11,Pratap Nagar,North,28.666632,77.196869
12,Shastri Nagar,North West,28.670135,77.181679
13,Inderlok,North West,28.673452,77.170235
14,Kanhaiya Nagar,North West,28.682386,77.162552
15,Keshav Puram,North West,28.688944,77.161774
16,Netaji Subhash Place,North West,28.695637,77.152428
17,Kohat Enclave,North West,28.697943,77.140465
18,Pitampura,North West,28.70318,77.132355
19,Rohini East,North West,28.707941,77.125732
20,Rohini West,North West,28.715008,77.115746
21,Rithala,North West,28.720821,77.105042
22,Mundka,West,28.682411,77.028282
23,Rajdhani Park,West,28.682217,77.043869
24,Nangloi Railway Station,West,28.682091,77.05619
25,Nangloi,West,28.682356,77.064728
26,Maharaja Surajmal Stadium,West,28.681833,77.073891
27,Udyog Nagar,West,28.681047,77.078674
28,Peera Garhi,West,28.67972,77.092491
29,Paschim Vihar (West),West,28.678539,77.102119
30,Paschim Vihar (East),West,28.677305,77.112251
31,Madipur,West,28.676418,77.117294
32,Shivaji Park,West,28.674965,77.128258
33,Punjabi Bagh,West,28.672943,77.146011
34,Ashok Park Main,West,28.671572,77.155159
35,Satguru Ram Singh Marg,West,28.662188,77.157829
36,Samaypur Badli,North West,28.742872,77.146545
37,Rohini Sector 18-19,North West,28.740192,77.135574
38,Haiderpur Badli Mor,North West,28.718657,77.149956
39,Jahangirpuri,North West,28.72818,77.16124
40,Adarsh Nagar,North West,28.696377,77.208809
41,Azadpur,North West,28.707287,77.179863
42,Model Town,North West,28.702833,77.193764
43,Guru Tegh Bahadur Nagar,North West,28.698195,77.206985
44,Vishwavidyalaya,Central,28.694765,77.212418
45,Vidhan Sabha,Central,28.687845,77.221626
46,Civil Lines,North,28.676945,77.224953
47,Chandni Chowk,Central,28.656443,77.229218
48,Chawri Bazar,Central,28.649635,77.22628
49,Patel Chowk,New Delhi,28.622967,77.212288
50,Central Secretariat,New Delhi,28.614973,77.212029
51,Udyog Bhawan,New Delhi,28.611525,77.210052
52,Lok Kalyan Marg,New Delhi,28.597519,77.209122
53,Jorbagh,New Delhi,28.587234,77.212662
54,Dilli Haat - INA,South,28.575195,77.209473
55,Green Park,South,28.559853,77.206902
56,Hauz Khas,South,28.543346,77.206673
57,Malviya Nagar,South,28.52817,77.205612
58,Saket,South,28.520638,77.199379
59,Qutab Minar,South,28.512714,77.185791
60,Chhattarpur,South,28.506584,77.174866
61,Sultanpur,South,28.499214,77.161362
62,Ghitorni,South,28.49383,77.149071
63,Arjan Garh,South,28.48082,77.12587
64,Gurudronacharya,South,28.482075,77.102219
65,Sikanderpur,NCR region,28.481352,77.092995
66,MG Road,NCR region,28.47967,77.080444
67,IFFCO Chowk,NCR region,28.472137,77.072502
68,Huda City Centre,NCR region,28.459118,77.072586
69,Vaishali,East,28.650059,77.337608
70,Kaushambi,East,28.645428,77.322273
71,Anand Vihar,East,28.647005,77.316185
72,Karkarduma,East,28.648653,77.304581
73,Preet Vihar,East,28.641352,77.295158
74,Nirman Vihar,East,28.637049,77.287872
75,Laxmi Nagar,East,28.629843,77.276428
76,Noida City Centre,NCR region,28.574593,77.356117
77,Golf Course,NCR region,28.566917,77.345726
78,Botanical Garden,NCR region,28.564198,77.334656
